City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
473,diffa,13.3154,12.6113,302.72,14,12,2.77,NE,1669910794
474,maniitsoq,65.4167,-52.9,262.55,73,92,5.24,GL,1669910795
475,jiuquan,39.7432,98.5174,264.49,78,99,1.28,CN,1669910762
476,jumla,29.2747,82.1838,278.94,38,1,2.18,NP,1669910795
477,bac lieu,9.285,105.7244,298.87,87,100,4.56,VN,1669910795
478,conceicao do araguaia,-8.2578,-49.2647,303.21,65,95,1.57,BR,1669910795
479,brewster,41.3973,-73.6171,277.6,60,100,5.14,US,1669910795
480,moron,-34.6534,-58.6198,294.83,76,100,6.63,AR,1669910795
481,vila franca do campo,37.7167,-25.4333,290.48,68,42,3.45,PT,1669910795
482,nipawin,53.3668,-104.0009,252.45,97,100,4.23,CA,1669910796
483,pingliang,35.5392,106.6861,267.32,36,73,0.55,CN,1669910796
484,sarata,46.0197,29.6657,276.81,70,100,5.34,UA,1669910796
485,bud,39.447,-86.1758,271.44,66,50,0.48,US,1669910796
486,caldas novas,-17.7417,-48.625,305.11,36,80,2.18,BR,1669910704
487,strezhevoy,60.7333,77.5889,248.44,97,19,2.13,RU,1669910796
488,kishtwar,33.3167,75.7667,283.08,41,100,2.2,IN,1669910796
489,merauke,-8.4667,140.3333,298.91,89,100,4.92,ID,1669910796
490,astana,51.1801,71.446,254.12,71,0,9.0,KZ,1669910782
491,krasnoselkup,65.7,82.4667,254.1,98,100,4.43,RU,1669910797
492,mehamn,71.0357,27.8492,274.12,86,100,3.6,NO,1669910797
493,springfield,37.2153,-93.2982,276.01,58,100,7.72,US,1669910798
494,umm kaddadah,13.6017,26.6876,301.71,17,100,6.04,SD,1669910798
495,zhigansk,66.7697,123.3711,249.93,99,100,2.27,RU,1669910597
496,akim swedru,5.8938,-1.0164,301.9,63,89,2.64,GH,1669910776
497,lelydorp,5.7,-55.2333,305.41,66,40,3.09,SR,1669910798
498,necochea,-38.5473,-58.7368,291.77,70,93,4.81,AR,1669910798
499,petukhovo,55.0692,67.9019,257.34,77,100,3.75,RU,1669910798
500,bardejov,49.2918,21.2727,273.47,91,33,2.98,SK,1669910574
501,auki,-8.7676,160.7034,298.66,86,100,1.7,SB,1669910798
502,sembe,1.6481,14.5806,299.44,76,70,0.63,CG,1669910799
503,oranjemund,-28.55,16.4333,292.16,81,6,6.52,NA,1669910799
504,erenhot,43.6475,111.9767,258.98,63,34,4.78,CN,1669910799
505,ambon,-3.6954,128.1814,297.23,94,40,2.06,ID,1669910799
506,tahoua,14.8888,5.2692,304.82,11,36,3.52,NE,1669910799
507,makali,8.6333,-11.6667,300.88,64,94,1.11,SL,1669910799
508,saint-pierre,-21.3393,55.4781,298.97,69,0,4.12,RE,1669910779
509,port-gentil,-0.7193,8.7815,302.13,79,75,5.66,GA,1669910800
510,inhambane,-23.865,35.3833,298.14,78,40,5.36,MZ,1669910800
511,kosa,59.9445,54.9977,258.45,97,65,1.45,RU,1669910800
512,nova olinda do norte,-3.8881,-59.0942,302.4,75,99,1.03,BR,1669910800
513,neryungri,56.6709,124.6491,247.32,94,100,2.86,RU,1669910801
514,shiyan,32.6475,110.7781,274.54,66,71,1.71,CN,1669910801
515,benguela,-12.5763,13.4055,299.07,80,74,4.44,AO,1669910801
516,balykshi,47.0667,51.8667,265.15,57,0,3.0,KZ,1669910801
517,acari,-15.4311,-74.6158,299.43,52,35,4.31,PE,1669910801
518,pando,-34.7167,-55.95,300.2,69,75,4.12,UY,1669910801
519,ust-karsk,52.7011,118.8077,248.3,97,100,0.79,RU,1669910801
520,aitape,-3.1374,142.3475,298.93,86,100,3.29,PG,1669910802
521,atherton,53.5237,-2.4935,280.53,93,40,1.46,GB,1669910802
522,valleyview,55.0667,-117.2859,246.44,100,97,0.98,CA,1669910802
523,ginir,7.1333,40.7,288.13,49,85,1.18,ET,1669910802
524,bridlington,54.0831,-0.1919,278.72,90,63,0.89,GB,1669910802
525,lishu,43.3047,124.3278,261.09,41,0,4.47,CN,1669910802
526,yate,51.5407,-2.4184,278.73,98,14,1.14,GB,1669910802
527,rio gallegos,-51.6226,-69.2181,288.63,30,100,4.42,AR,1669910653
528,lebanon,36.2081,-86.2911,276.63,60,0,4.12,US,1669910803
529,zvishavane,-20.3267,30.0665,298.07,28,0,4.12,ZW,1669910655
530,zhengjiatun,43.5064,123.5064,261.08,37,0,3.45,CN,1669910803
531,mogzon,51.7435,111.9606,255.53,86,100,5.87,RU,1669910803
532,kizukuri,40.8061,140.3861,274.0,70,100,7.86,JP,1669910803
533,korenovsk,45.4686,39.4519,278.97,61,100,9.96,RU,1669910803
534,meulaboh,4.1363,96.1285,297.5,89,100,0.23,ID,1669910763
535,sinnamary,5.3833,-52.95,301.19,71,99,4.94,GF,1669910803
536,parana,-31.732,-60.5238,303.01,33,16,7.44,AR,1669910563
537,moindou,-21.6924,165.677,300.2,77,98,2.99,NC,1669910804
538,toora-khem,52.4675,96.11,250.84,94,100,0.57,RU,1669910804
539,tahta,26.7693,31.5021,294.06,28,0,3.43,EG,1669910804
540,nortelandia,-14.4547,-56.8028,308.65,34,29,2.95,BR,1669910804
541,atar,20.5169,-13.0499,304.17,10,12,3.19,MR,1669910804
542,maceio,-9.6658,-35.7353,302.84,54,75,7.2,BR,1669910633
543,ndungu,-4.3667,38.05,297.74,67,100,2.54,TZ,1669910804
544,el tocuyo,9.7873,-69.7937,299.33,56,25,2.84,VE,1669910804
545,nhulunbuy,-12.2333,136.7667,301.49,83,100,0.0,AU,1669910805
546,swiecie,53.4095,18.4474,275.32,76,97,0.89,PL,1669910805
547,chunoyar,57.4467,97.3217,246.83,100,70,1.37,RU,1669910805
548,adrar,20.5022,-10.0711,302.1,10,6,1.69,MR,1669910805
549,kirakira,-10.4544,161.9205,299.64,81,97,1.29,SB,1669910805
550,lar,26.2039,83.9717,291.55,42,0,2.09,IN,1669910805
